date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:07	73966/73966	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2021:06:56%20GMT	https://html.themeholy.com/bame/demo/index.html	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/index.html	(from )
14:03:08	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20May%202024%2008:33:07%20GMT	https://html.themeholy.com/robots.txt		(from )
14:03:08	1800/1800	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-57x57.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:09	1868/1868	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-60x60.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:09	1836/1836	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-72x72.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:09	1895/1895	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-76x76.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:09	2774/2774	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-114x114.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:10	2936/2936	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-120x120.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:10	3585/3585	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-144x144.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:10	3840/3840	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-152x152.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:10	4665/4665	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-180x180.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-180x180.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:11	4054/4054	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/android-icon-192x192.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/android-icon-192x192.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:11	1085/1085	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/favicon-32x32.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/favicon-32x32.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:11	2348/2348	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/favicon-96x96.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/favicon-96x96.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:12	565/565	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/favicon-16x16.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/favicon-16x16.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:12	720/720	---M-Z	200	added ('OK')	application/json	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/manifest.json	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/manifest.json	(from https://html.themeholy.com/bame/demo/index.html)
14:03:12	3585/3585	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2021:07:02%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/ms-icon-144x144.png	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/img/favicons/ms-icon-144x144.png	(from https://html.themeholy.com/bame/demo/index.html)
14:03:13	221692/221692	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202024%2021:06:56%20GMT	https://html.themeholy.com/bame/demo/assets/css/app.min.css	D:/Project%20Zip/minig/html.themeholy.com/bame/demo/assets/css/app.min.css	(from https://html.themeholy.com/bame/demo/index.html)
